,taxa100175,taxa100883,taxa1017280,taxa102106,taxa114627,taxa117563,taxa118966,taxa1236988,taxa1243,taxa1263,taxa1279,taxa1301,taxa133925,taxa1350,taxa1357,taxa1378,taxa1380,taxa1386,taxa1485,taxa1486726,taxa1505652,taxa1505657,taxa1505663,taxa1506553,taxa1506577,taxa1508657,taxa1573535,taxa1578,taxa162289,taxa1637257,taxa1654,taxa1663,taxa166484,taxa1678,taxa1716,taxa1730,taxa1870884,taxa189330,taxa2005359,taxa2039240,taxa2048137,taxa2057233,taxa207244,taxa2132,taxa2147,taxa216851,taxa2172,taxa2282742,taxa237,taxa239759,taxa239934,taxa244127,taxa253238,taxa264995,taxa278993,taxa283168,taxa28453,taxa286,taxa292632,taxa29465,taxa32207,taxa33042,taxa33986,taxa35832,taxa36853,taxa375288,taxa397864,taxa39948,taxa40544,taxa420345,taxa44249,taxa44748,taxa459786,taxa46205,taxa46255,taxa52225,taxa52784,taxa561,taxa570,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa653683,taxa66831,taxa698776,taxa724,taxa79206,taxa816,taxa830,taxa836,taxa83660,taxa838,taxa841,taxa84108,taxa84111,taxa846,taxa848,taxa86331,taxa872,taxa904,taxa906,taxa990721,taxa1647,taxa184869,condition
2632,,,,0.0034027381081954316,,,,,,0.006307467796144788,,0.0002922281534237146,,,,,,,,,,,,,,,,,,,,,,0.01385607304473189,,0.07770777325879381,,0.004848344482622512,,,,,,,,0.03734760533806117,0.0007503918651429109,,,0.17506150963833414,0.004637520581809408,4.2164780162620885e-05,,,,0.02047664963902207,,,0.05064655857217546,0.0006109858216387433,,0.0005990828454205872,,0.016836356369862596,,0.056654938872669126,,,,,,,0.01385899835244652,,,,,0.0006350943921145003,,0.005819849261919646,,9.300461078932167e-05,,,,,,,,0.4822470640249995,,,,,0.027267600189519594,,,,,,,,,,,,H2029
2633,,,,0.0010188984475186513,,,,,,0.004512540366750601,,,,,,,,,,,,,,,,,,,,,,,,0.004789036095851852,,0.02323874964180542,,0.0002647083330792946,,,,,,,,0.04173571438732976,,,,0.19208171510676736,0.09125456507557143,,,,,0.012481531385974217,,,0.16963485492357497,0.006996327616446261,,0.0210515779868347,,0.0004084942414505813,,0.1165844597409618,0.010016136538692126,,,,,,0.003557558058006182,,,,,0.00043654011474420336,,0.0025118331229892835,,5.466912982597331e-05,,,,,,,,0.271043042286267,,,,,0.016349219897937407,,,0.004986068517287842,,,0.004991758984332924,,,,,,H2029
2634,,,,,,,,,,0.0005551042214192017,,,,,,,,,,,,,,,,,,,,,,,,0.0006704166951605461,,0.0028832129303987945,,0.00023774423933976287,,,,,,,,0.015935682512472297,,,,0.15122478893305077,,0.00028868227121854796,,,,0.00175916699071143,,,0.03567717801699044,,,,,,,0.03319354787603447,,0.03251641297588204,,,,,0.007845559898212175,,,,,0.00036308388471078927,,0.002111622073494756,,0.010055147438528925,0.0005516949830651098,,,,,,,0.7017275412913915,,,,,0.0018642517493904984,,0.0005391610185280072,,,,,,,,,,H2029
2635,,0.0006791198366343403,,,,,,,,0.000823865082995962,,,,,,,,,0.02481047795201114,,,,,,,,,,,,,,,0.004164032049243857,,0.019872700364910383,,0.001569844392845816,,,,,,,,0.018310674621106263,,,,0.11919630703153161,,3.137483525705513e-05,,,,0.005190079377330809,,,0.04512122314143696,,,,,,,0.023884769953292594,,0.0612817692760773,,,,,0.01344105961539464,,,,,0.0003851185848485808,,0.021254496224394428,,0.007480843307456946,0.0008283758420584779,,,,,,,0.6205782031301059,,,,,0.010072424747507755,,0.0010232406335591653,,,,,,,,,,H2029
2636,,,,,,,,,,0.0006965853689818311,,,,,,,,,0.001580342986130817,,,,,,,,,,,,,,,0.0028558797736939227,,0.008691986622995815,,0.0019623026274655036,,,,,,,,0.017965429646480922,,,,0.15749222052818646,,,,,,0.006354738303538077,,,0.025915140030492643,7.87566311881069e-05,,,,,,0.015578883283073375,,0.061809526786873736,,,,,0.012101266999809223,,,,,0.0026371447534857327,,0.00808217382730775,,0.005980995002861692,0.0004186325764680797,,,,,,,0.6682119399060852,,,,,0.0008839580157016275,,0.0007020963291794722,,,,,,,,,,H2029
2637,,,,0.0052123018236224115,,,,,,0.00700806492402525,,,,,,,,,,,,,,,,,,,,,,,,0.025105196434660738,,0.06560684351958963,,0.0007367625440323967,,,,,,,,0.044456404867996624,0.0009567205796694737,,,0.1928920820817718,,,,,,0.0157779355882924,,,0.09346860259650416,0.005358328669719906,,0.0026652958634428726,,0.013477502891984188,,0.060522825056575205,0.014174801476910626,,0.018995420957055056,,,,0.02509612074380691,,,,,0.016323088883849105,,0.06122185720042878,0.03432487465349217,0.001158221311435289,0.0010902046170588725,,,,,,,0.25479033318594685,,,,,0.0375191099378203,,,,,,0.0020610995903090385,,,,,,H2029
2638,,,,0.0020242026877577684,,,,,,0.0027533128359760535,,,,,,,,,7.041850375371153e-05,,,,,,,,,,,,,,,0.004765052968393237,,0.0023809559995805287,,0.0002002114581544374,,,,,,,,0.013798784444907146,,,,0.1818033520221003,,,,,,0.008570489175561436,,,0.01325458619503494,,,,,0.01176414563357149,,0.030107507271090468,0.019388797783894223,,0.05690210257493618,,,,0.012119581764748498,,,,,,,0.017912542244769656,,0.000256343617981137,0.0005297092627689265,,,,,0.00027356828796405925,,0.5557134483637324,,,,,0.02768997417819326,,,,,,,0.03010345440756507,0.007617458317565162,,,,H2029
2639,,,0.00010229058492110047,0.00045180856191306127,,,,,,0.0023510741617804557,,,,,,,,,0.0027199036356306775,,,,,,,,,,,,,,,,,0.04134169038359874,,0.0009780468513006695,,,,,,,,0.010616193655690494,,,,0.03637129329899107,,0.0030248643568507134,,,,,,,0.032887680311043846,,,,,,,0.43895736423816545,,0.012545029985122103,,,,,0.01825610343881434,,,,,0.0012313090861397365,,0.009246183766594812,,,0.004353133250132968,,,,,,,0.38163742181861193,,,,,0.002928608614697819,,,,,,,,,,,,H2029
2640,,,,,,,,,,0.0024577509120375166,,0.0023325486156813152,,,,,,,,,,,,,,,,,,,,,,0.005186790612482021,,0.07225355594582825,,0.003532515406723826,,,,,,,,0.03630876882110978,,,,0.07535799677971874,,,,,,,,,0.022891547548735534,0.005041630020732966,,0.014091996836713057,,0.00347006857526268,,0.04662926509544129,0.011293205980204868,0.04746113507764033,,,,,0.0043576983311881595,,,,,,,0.0097679395498211,,0.013836859864680697,,,,,,0.027129598985377874,,0.551980608767103,,,,,0.04461851827351691,,,,,,,,,,,,H2029
2641,,,,0.005133753376203468,,,,,,0.01281444089108522,,,,,,,,,6.6241332507037e-05,,,,,,,,,,,,,,,0.010773486310391853,,0.015961355147342367,,0.000454469656459021,,,,,,,,0.01701450214176968,,,,0.36432131595973166,,6.584047724224405e-05,,,,0.023442416740357228,,,0.025361611534369728,7.465929306768922e-05,,,,0.005646447259873666,,0.07783196227470932,,,0.0033237916418470442,,,,0.03149309366464288,,,,,0.0010823092149409982,0.0028835523472881736,0.0021232301237921226,0.009358467225672695,,9.109435892420068e-05,,,,,,,0.37628183492299166,,,,,0.014400124104789977,,,,,,,,,,,,H2029
